Uuid,Void/Retire,Mappings|SAME-AS|EIS-820,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1150
ad492e46-b685-5056-b510-7afed64c956e,,ISO3166-1-162,País ISO 3166-1 162 - ISLAS CHRISTMAS,País ISO 3166-1 162 - ISLAS CHRISTMAS,ISLAS CHRISTMAS,Código numérico 162 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
2cdd01b3-592b-593d-ad01-62a293835a47,,ISO3166-1-166,País ISO 3166-1 166 - ISLAS COCOS,País ISO 3166-1 166 - ISLAS COCOS,ISLAS COCOS,Código numérico 166 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
af95ea3a-0450-5f0b-8df4-3ac3a80f768c,,ISO3166-1-170,País ISO 3166-1 170 - COLOMBIA,País ISO 3166-1 170 - COLOMBIA,COLOMBIA,Código numérico 170 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
290a4a63-cc30-56d2-b060-921caf18669c,,ISO3166-1-174,País ISO 3166-1 174 - COMOROS,País ISO 3166-1 174 - COMOROS,COMOROS,Código numérico 174 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
256dd183-5c1b-5e56-b1d1-baf90b2f9069,,ISO3166-1-175,País ISO 3166-1 175 - MAYOTTE,País ISO 3166-1 175 - MAYOTTE,MAYOTTE,Código numérico 175 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
06dc10d4-2951-509c-a7cd-ab9cddfc2af5,,ISO3166-1-178,País ISO 3166-1 178 - CONGO,País ISO 3166-1 178 - CONGO,CONGO,Código numérico 178 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
5a4c593d-0dcf-59b0-95c7-cd7eba262e6d,,ISO3166-1-180,País ISO 3166-1 180 - REPUBLICA DEMOCRATICA DEL CONGO,País ISO 3166-1 180 - REPUBLICA DEMOCRATICA DEL CONGO,REPUBLICA DEMOCRATICA DEL CONGO,Código numérico 180 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a721f86e-441a-536f-80be-23b784750136,,ISO3166-1-184,País ISO 3166-1 184 - ISLAS COOK,País ISO 3166-1 184 - ISLAS COOK,ISLAS COOK,Código numérico 184 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
e6574772-23c2-5631-9dd7-6f766d592563,,ISO3166-1-188,País ISO 3166-1 188 - COSTA RICA,País ISO 3166-1 188 - COSTA RICA,COSTA RICA,Código numérico 188 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
c0f165e4-f748-5b58-af16-bfc419098ef4,,ISO3166-1-191,País ISO 3166-1 191 - CROACIA,País ISO 3166-1 191 - CROACIA,CROACIA,Código numérico 191 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
